Name,Scientific Name,Class,Family,Lifespan (years),Top Speed (km/h),Weight (kg),Length (cm),Diet,Population Trend,Population Status,Mating Behavior,Arid Climate,Cold Climate,Polar Climate,Temperate Climate,Tropical Climate,Africa,Antarctica,Asia,Europe,North America,Oceania,South America
Aardvark,Orycteropus afer,Mammalia,Orycteropodidae,20.5,40.0,70.0,117.5,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Aardwolf,Proteles cristata,Mammalia,Hyaenidae,14.0,41.829850746268654,8.5,67.5,1,2,1,2,0,0,0,1,1,1,0,0,0,0,0,0
Abert's Squirrel,Sciurus aberti,Mammalia,Sciuridae,7.0,41.829850746268654,0.755,52.0,2,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0
Acadian Flycatcher,Empidonax virescens,Aves,Tyrannidae,10.5,66.8076923076923,0.013000000000000001,14.0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1
Acorn Woodpecker,Melanerpes formicivorus,Aves,Picidae,16.5,66.8076923076923,0.077,21.0,0,3,1,2,0,0,0,1,1,0,0,0,0,1,0,1
Addax,Addax nasomaculatus,Mammalia,Bovidae,22.0,41.829850746268654,92.5,125.0,2,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0
Adélie Penguin,Pygoscelis adeliae,Aves,Spheniscidae,15.0,35.0,4.5,69.0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0
AesculapianSnake,Zamenis longissimus,Reptilia,Colubridae,27.5,22.147727272727273,28.274673913043493,135.0,1,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0
African Buffalo,Syncerus caffer,Mammalia,Bovidae,20.0,41.829850746268654,125.5,200.0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,Elephantidae,67.5,40.0,4.0,300.0,2,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0
African Civet,Civettictis civetta,Mammalia,Viverridae,21.5,41.829850746268654,13.5,75.5,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
African Clawless Otter,Aonyx capensis,Mammalia,Mustelidae,12.5,41.829850746268654,13.0,84.0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
African Fish Eagle,Haliaeetus vocifer,Aves,Accipitridae,26.0,66.8076923076923,2.5,69.0,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0
African Forest Elephant,Loxodonta cyclotis,Mammalia,Elephantidae,67.5,39.0,1500.0,150.0,2,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0
African Golden Cat,Caracal aurata,Mammalia,Felidae,15.0,41.829850746268654,10.5,81.0,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0
African Golden Wolf,Canis anthus,Mammalia,Canidae,8.0,64.0,11.0,114.29540507859738,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
African Grey Parrot,Psittacus erithacus,Aves,Psittacidae,41.5,66.8076923076923,0.445,30.5,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
African Lion,Panthera leo,Mammalia,Felidae,18.5,56.0,184.5,195.0,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0
African Manatee,Trichechus senegalensis,Mammalia,Trichechidae,30.0,32.0,360.0,400.0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0
African Penguin ,Spheniscus demersus,Aves,Spheniscidae,12.5,20.0,3.5,45.0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0
African Rock Python,Python sebae,Reptilia,Pythonidae,21.0,22.147727272727273,49.5,350.0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0
African Spoonbill,Platalea alba,Aves,Threskiornithidae,22.5,66.8076923076923,1.5,49.30568669527897,1,2,1,0,0,0,0,1,1,1,0,1,0,0,0,0
African Spurred Tortoise,Centrochelys sulcata,Reptilia,Testudinidae,100.0,22.147727272727273,105.0,83.0,2,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0
African Wild Ass,Equus africanus,Mammalia,Equidae,37.5,70.0,252.5,200.0,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0
African Wild Dog,Lycaon pictus,Mammalia,Canidae,10.5,66.0,27.0,91.5,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0
Agile Wallaby,Macropus agilis,Mammalia,Macropodidae,12.5,41.829850746268654,18.0,78.5,2,1,1,2,0,0,0,0,1,0,0,1,0,0,1,0
Alabama Red-Bellied Turtle,Pseudemys alabamensis,Reptilia,Emydidae,25.068493150684933,22.147727272727273,28.274673913043493,22.5,2,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0
Aldabra Giant Tortoise,Aldabrachelys gigantea,Reptilia,Testudinidae,138.0,0.0,200.0,106.0,2,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0
Allen's Swamp Monkey,Allenopithecus nigroviridis,Mammalia,Cercopithecidae,23.0,41.829850746268654,4.5,52.5,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0
Alligator Snapping Turtle,Macrochelys temminckii,Reptilia,Chelydridae,45.0,22.147727272727273,44.0,58.0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,Camelidae,12.5,48.0,60.0,172.5,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1
Alpine Chipmunk,Neotamias alpinus,Mammalia,Sciuridae,2.5,41.829850746268654,0.036000000000000004,18.45,2,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0
Alpine Ibex,Capra ibex,Mammalia,Bovidae,15.5,41.829850746268654,67.0,146.0,2,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0
Alpine Marmot,Marmota marmota,Mammalia,Sciuridae,16.5,41.829850746268654,5.0,48.0,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0
Amazonian Manatee,Trichechus inunguis,Mammalia,Trichechidae,21.0,22.0,450.0,300.0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1
Amazon River Dolphin,Inia geoffrensis,Mammalia,Iniidae,30.0,30.0,130.0,200.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Amazon Tree Boa,Corallus hortulanus,Reptilia,Boidae,17.5,22.147727272727273,28.274673913043493,150.0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,Alligatoridae,57.5,24.0,159.0,250.0,1,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0
American Anole,Anolis carolinensis,Reptilia,Dactyloidae,5.0,22.147727272727273,0.005,21.0,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0
American Avocet,Recurvirostra americana,Aves,Recurvirostridae,12.0,40.0,0.312,45.0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,1
American Badger,Taxidea taxus,Mammalia,Mustelidae,12.0,30.0,8.0,67.5,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
AmericanBeaver,Castor canadensis,Mammalia,Castoridae,15.0,55.0,21.5,82.0,2,2,1,0,1,1,1,1,0,0,0,1,1,1,0,1
American Bison,Bison bison,Mammalia,Bovidae,27.5,35.0,659.0,250.0,2,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
